Region,Interest
Vermont,100
North Dakota,98
Utah,97
West Virginia,95
Delaware,94
New Hampshire,92
Alaska,89
Connecticut,87
Kentucky,87
Pennsylvania,87
California,86
Michigan,86
Indiana,86
Minnesota,85
Massachusetts,84
Rhode Island,84
Oklahoma,82
Idaho,81
Tennessee,81
Virginia,81
Missouri,80
Washington,80
Arkansas,79
Ohio,79
North Carolina,79
Arizona,79
Illinois,78
Maryland,78
Maine,78
Montana,78
New Mexico,78
Kansas,77
South Carolina,77
Oregon,77
Nevada,77
New Jersey,76
Iowa,76
Colorado,76
Georgia,75
Hawaii,75
Wisconsin,75
Alabama,74
Nebraska,72
South Dakota,72
Texas,72
Louisiana,70
Wyoming,70
New York,70
Florida,68
District of Columbia,67
Mississippi,62
